timestamp,cpu,memory,requests
1752954066.2009299,0.0,16.4,3596
1752954096.5612698,5.0,16.3,777
1752954126.7331426,1.0,16.3,791
1752954156.9015663,0.0,16.3,789
1752954187.0653706,1.1,16.3,789
1752954217.3013296,1.1,16.4,795
1752954247.5246599,0.0,16.4,792
1752954277.7648656,1.0,16.5,798
1752954308.015946,1.0,16.5,789
1752954338.2132921,1.0,16.5,793
1752954368.4919558,1.0,16.5,797
1752954398.7332854,1.1,16.5,795
1752954418.7761881,1.2,16.4,531
1752954450.5968902,2.0,18.5,834
1752954480.8389897,1.1,18.5,795
1752954511.0530558,1.2,18.6,795
1752954541.2645164,1.2,18.7,774
1752954571.482295,1.3,18.6,831
1752954601.6956894,1.2,18.6,828
1752954631.916846,1.3,18.6,825
1752954662.1230216,1.3,18.7,825
1752954692.342171,1.2,18.7,828
1752954722.5592215,1.2,18.7,828
